dataset,config_id,k_shot,seed,stage,class_index,class_name,f1
eurosat,swin_b_scratch_ms9,5,42,stage2,1,Forest,0.7420814479638009
eurosat,swin_b_scratch_ms9,5,42,stage2,2,HerbaceousVegetation,0.28482003129890454
eurosat,swin_b_scratch_ms9,5,42,stage2,3,Highway,0.3381294964028777
eurosat,swin_b_scratch_ms9,5,42,stage2,4,Industrial,0.7597173144876325
eurosat,swin_b_scratch_ms9,5,42,stage2,5,Pasture,0.587012987012987
eurosat,swin_b_scratch_ms9,5,42,stage2,6,PermanentCrop,0.4507042253521127
eurosat,swin_b_scratch_ms9,5,42,stage2,7,Residential,0.33532934131736525
eurosat,swin_b_scratch_ms9,5,42,stage2,8,River,0.6060606060606061
eurosat,swin_b_scratch_ms9,5,42,stage2,9,SeaLake,0.8978328173374613
eurosat,swin_b_scratch_ms9,5,123,stage1,0,AnnualCrop,0.512241054613936
eurosat,swin_b_scratch_ms9,5,123,stage1,1,Forest,0.6485671191553545
eurosat,swin_b_scratch_ms9,5,123,stage1,2,HerbaceousVegetation,0.40520984081041966
eurosat,swin_b_scratch_ms9,5,123,stage1,3,Highway,0.14871794871794872
eurosat,swin_b_scratch_ms9,5,123,stage1,4,Industrial,0.5383104125736738
eurosat,swin_b_scratch_ms9,5,123,stage1,5,Pasture,0.43564356435643564
eurosat,swin_b_scratch_ms9,5,123,stage1,6,PermanentCrop,0.33035714285714285
eurosat,swin_b_scratch_ms9,5,123,stage1,7,Residential,0.3618421052631579
eurosat,swin_b_scratch_ms9,5,123,stage1,8,River,0.47602131438721135
eurosat,swin_b_scratch_ms9,5,123,stage1,9,SeaLake,0.9645868465430016
eurosat,swin_b_scratch_ms9,5,123,stage2,0,AnnualCrop,0.5361702127659574
eurosat,swin_b_scratch_ms9,5,123,stage2,1,Forest,0.7004470938897168
eurosat,swin_b_scratch_ms9,5,123,stage2,2,HerbaceousVegetation,0.3975659229208925
eurosat,swin_b_scratch_ms9,5,123,stage2,3,Highway,0.11627906976744186
eurosat,swin_b_scratch_ms9,5,123,stage2,4,Industrial,0.6610526315789473
eurosat,swin_b_scratch_ms9,5,123,stage2,5,Pasture,0.6163522012578616
eurosat,swin_b_scratch_ms9,5,123,stage2,6,PermanentCrop,0.4101694915254237
eurosat,swin_b_scratch_ms9,5,123,stage2,7,Residential,0.4411764705882353
eurosat,swin_b_scratch_ms9,5,123,stage2,8,River,0.441025641025641
eurosat,swin_b_scratch_ms9,5,123,stage2,9,SeaLake,0.8844221105527639
eurosat,resnet50_satlas-ms_ms9,10,123,stage1,0,AnnualCrop,0.822463768115942
eurosat,resnet50_satlas-ms_ms9,10,123,stage1,1,Forest,0.889967637540453
eurosat,resnet50_satlas-ms_ms9,10,123,stage1,2,HerbaceousVegetation,0.6666666666666666
eurosat,resnet50_satlas-ms_ms9,10,123,stage1,3,Highway,0.4419642857142857
eurosat,resnet50_satlas-ms_ms9,10,123,stage1,4,Industrial,0.8709055876685935
eurosat,resnet50_satlas-ms_ms9,10,123,stage1,5,Pasture,0.6470588235294118
eurosat,resnet50_satlas-ms_ms9,10,123,stage1,6,PermanentCrop,0.6337760910815939
eurosat,resnet50_satlas-ms_ms9,10,123,stage1,7,Residential,0.8981001727115717
eurosat,resnet50_satlas-ms_ms9,10,123,stage1,8,River,0.7157894736842105
eurosat,resnet50_satlas-ms_ms9,10,123,stage1,9,SeaLake,0.9744463373083475
eurosat,resnet50_satlas-ms_ms9,10,123,stage2,0,AnnualCrop,0.9058441558441559
eurosat,resnet50_satlas-ms_ms9,10,123,stage2,1,Forest,0.9668874172185431
eurosat,resnet50_satlas-ms_ms9,10,123,stage2,2,HerbaceousVegetation,0.8051529790660226
eurosat,resnet50_satlas-ms_ms9,10,123,stage2,3,Highway,0.8050314465408805
eurosat,resnet50_satlas-ms_ms9,10,123,stage2,4,Industrial,0.8628158844765343
eurosat,resnet50_satlas-ms_ms9,10,123,stage2,5,Pasture,0.7442922374429224
eurosat,resnet50_satlas-ms_ms9,10,123,stage2,6,PermanentCrop,0.7078384798099763
eurosat,resnet50_satlas-ms_ms9,10,123,stage2,7,Residential,0.9150779896013865
eurosat,resnet50_satlas-ms_ms9,10,123,stage2,8,River,0.7907869481765835
eurosat,resnet50_satlas-ms_ms9,10,123,stage2,9,SeaLake,0.9492119089316988
