dataset,k_shot,stage,seed,config_a,config_b,p_raw,n_discordant,b_only,c_only,exact_used,n_err_a,n_err_b,n_err_both,jaccard,gpu_mismatch,p_holm,significant_holm_05
eurosat,25,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_imagenet_ms9,1.6533976858239742e-08,346,120,226,False,292,186,66,0.16019417475728157,False,2.8107760659007563e-07,True
eurosat,25,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_imagenet_rgb3,4.591145672324399e-16,310,83,227,False,292,148,65,0.17333333333333334,False,1.1018749613578558e-14,True
eurosat,25,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_satlas-ms_ms9,1.8684792165327935e-28,298,53,245,False,292,100,47,0.13623188405797101,False,5.231741806291822e-27,True
eurosat,25,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_satlas-rgb_rgb3,3.1830666769562574e-10,263,80,183,False,292,189,109,0.29301075268817206,False,6.684440021608141e-09,True
eurosat,25,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_scratch_ms9,2.139397757154935e-83,779,660,119,False,292,833,173,0.18172268907563024,False,6.846072822895792e-82,True
eurosat,25,stage2,42,resnet50_scratch_ms9,swin_b_imagenet_ms9,1.0710831946199635e-117,809,76,733,False,843,186,110,0.11969532100108814,False,4.284332778479854e-116,True
eurosat,25,stage2,42,resnet50_scratch_ms9,swin_b_imagenet_rgb3,1.1109334383071026e-125,847,76,771,False,843,148,72,0.07834602829162132,False,4.665920440889831e-124,True
eurosat,25,stage2,42,resnet50_scratch_ms9,swin_b_satlas-ms_ms9,3.255529763080913e-148,819,38,781,False,843,100,62,0.07037457434733257,False,1.4324330957556017e-146,True
eurosat,25,stage2,42,resnet50_scratch_ms9,swin_b_satlas-rgb_rgb3,7.956438457191972e-122,774,60,714,False,843,189,129,0.14285714285714285,False,3.2621397674487085e-120,True
eurosat,25,stage2,42,resnet50_scratch_ms9,swin_b_scratch_ms9,0.7260951618325293,660,325,335,False,843,833,508,0.4349315068493151,False,1.0,False
eurosat,25,stage2,42,swin_b_imagenet_ms9,swin_b_imagenet_rgb3,0.011818052741966524,216,89,127,False,186,148,59,0.21454545454545454,False,0.09261722004684753,False
eurosat,25,stage2,42,swin_b_imagenet_ms9,swin_b_satlas-ms_ms9,2.6619925540142502e-09,204,59,145,False,186,100,41,0.1673469387755102,False,4.79158659722565e-08,True
eurosat,25,stage2,42,swin_b_imagenet_ms9,swin_b_satlas-rgb_rgb3,0.9025838126526866,267,135,132,False,186,189,54,0.16822429906542055,False,1.0,False
eurosat,25,stage2,42,swin_b_imagenet_ms9,swin_b_scratch_ms9,4.927774295485492e-115,803,725,78,False,186,833,108,0.11855104281009879,False,1.872554232284487e-113,True
eurosat,25,stage2,42,swin_b_imagenet_rgb3,swin_b_satlas-ms_ms9,0.0004597504763876637,180,66,114,False,148,100,34,0.1588785046728972,False,0.005976756193039628,True
eurosat,25,stage2,42,swin_b_imagenet_rgb3,swin_b_satlas-rgb_rgb3,0.01157715250585594,251,146,105,False,148,189,43,0.14625850340136054,False,0.09261722004684753,False
eurosat,25,stage2,42,swin_b_imagenet_rgb3,swin_b_scratch_ms9,7.361003515284222e-127,815,750,65,False,148,833,83,0.09242761692650334,False,3.1652315115722156e-125,True
eurosat,25,stage2,42,swin_b_satlas-ms_ms9,swin_b_satlas-rgb_rgb3,6.558420777676696e-10,203,146,57,False,100,189,43,0.17479674796747968,False,1.3116841555353393e-08,True
eurosat,25,stage2,42,swin_b_satlas-ms_ms9,swin_b_scratch_ms9,4.379732498980338e-150,787,760,27,False,100,833,73,0.08488372093023255,False,1.970879624541152e-148,True
eurosat,25,stage2,42,swin_b_satlas-rgb_rgb3,swin_b_scratch_ms9,2.0776786925261012e-116,786,715,71,False,189,833,118,0.13053097345132744,False,8.102946900851795e-115,True
eurosat,50,stage2,42,resnet50_imagenet_ms9,resnet50_imagenet_rgb3,0.6429441537548619,228,110,118,False,191,183,73,0.2425249169435216,False,1.0,False
eurosat,50,stage2,42,resnet50_imagenet_ms9,resnet50_satlas-ms_ms9,0.09631738724340337,226,100,126,False,191,165,65,0.22336769759450173,False,0.6941453816310038,False
eurosat,50,stage2,42,resnet50_imagenet_ms9,resnet50_satlas-rgb_rgb3,0.008009942329880018,288,167,121,False,191,237,70,0.19553072625698323,False,0.10412925028844024,False
eurosat,50,stage2,42,resnet50_imagenet_ms9,resnet50_scratch_ms9,2.5004438591397644e-82,642,565,77,False,191,679,114,0.15079365079365079,False,8.001420349247246e-81,True
eurosat,50,stage2,42,resnet50_imagenet_ms9,swin_b_imagenet_ms9,2.5604983605030687e-05,210,74,136,False,191,129,55,0.20754716981132076,False,0.00048649468849558305,True
eurosat,50,stage2,42,resnet50_imagenet_ms9,swin_b_imagenet_rgb3,4.114562281345944e-05,236,86,150,False,191,127,41,0.148014440433213,False,0.00074062121064227,True
eurosat,50,stage2,42,resnet50_imagenet_ms9,swin_b_satlas-ms_ms9,6.197421007390327e-09,219,66,153,False,191,104,38,0.14785992217898833,False,1.5493552518475816e-07,True
eurosat,50,stage2,42,resnet50_imagenet_ms9,swin_b_satlas-rgb_rgb3,2.6679545936247906e-06,216,73,143,False,191,121,48,0.18181818181818182,False,6.136295565337019e-05,True
eurosat,50,stage2,42,resnet50_imagenet_ms9,swin_b_scratch_ms9,1.2195677368864027e-95,700,625,75,False,191,741,116,0.14215686274509803,False,4.268487079102409e-94,True
eurosat,50,stage2,42,resnet50_imagenet_rgb3,resnet50_satlas-ms_ms9,0.26846442307560975,236,109,127,False,183,165,56,0.1917808219178082,False,1.0,False
